Age Group,Average Closure Time in Days,Case Closed,City,Closed Cases,Sum of Closure Time (Days),Count of Crime Code,Crime Description,Crime Domain,Date Case Closed,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Day of Week,Distinct Cities,No. of Cases,Sum of Police Deployed,Sum of Report Number,Reported Within 24H,Sum of Reporting Delay (Hours),Time of Occurrence,Time Range,Sum of Victim Age,Victim Gender,Weapon Used
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2020,Qtr 4,November,13,2020,Qtr 4,November,16,Friday,1,1,11,1375,After 24H,72,1899-12-30 17:14:00,Evening,38,F,None
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2021,Qtr 2,April,8,2021,Qtr 2,May,8,Thursday,1,1,1,3478,After 24H,731,1899-12-30 15:19:00,Afternoon,42,M,Explosives
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2021,Qtr 2,June,21,2021,Qtr 2,June,22,Monday,1,1,16,3048,After 24H,42,1899-12-30 12:13:00,Afternoon,44,M,Blunt Object
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2022,Qtr 1,January,18,2022,Qtr 1,January,18,Tuesday,1,1,17,5231,Within 24H,13,1899-12-30 19:08:00,Evening,36,F,Explosives
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2022,Qtr 2,April,20,2022,Qtr 2,April,21,Wednesday,1,1,11,6275,After 24H,35,1899-12-30 15:38:00,Afternoon,32,F,Explosives
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2022,Qtr 2,May,19,2022,Qtr 2,May,20,Thursday,1,1,2,6605,After 24H,28,1899-12-30 11:50:00,Morning,41,F,Explosives
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2022,Qtr 2,May,21,2022,Qtr 2,May,21,Saturday,1,1,18,6620,Within 24H,17,1899-12-30 03:25:00,Night,37,F,None
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2022,Qtr 2,June,24,2022,Qtr 2,June,26,Friday,1,1,2,7076,After 24H,49,1899-12-30 22:40:00,Night,43,F,Firearm
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2022,Qtr 3,July,12,2022,Qtr 4,October,12,Tuesday,1,1,13,9399,After 24H,2208,1899-12-30 19:32:00,Evening,34,F,None
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2023,Qtr 3,August,19,2023,Qtr 3,August,19,Saturday,1,1,11,12970,Within 24H,13,1899-12-30 20:13:00,Evening,42,M,Blunt Object
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2023,Qtr 3,August,23,2023,Qtr 3,August,25,Wednesday,1,1,19,13057,After 24H,59,1899-12-30 14:25:00,Afternoon,34,M,Knife
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2024,Qtr 1,January,13,2024,Qtr 1,January,15,Saturday,1,1,10,15052,After 24H,55,1899-12-30 13:58:00,Afternoon,37,F,Poison
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2024,Qtr 1,January,20,2024,Qtr 1,January,21,Saturday,1,1,6,15138,After 24H,46,1899-12-30 03:16:00,Night,32,F,Explosives
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2024,Qtr 1,March,14,2024,Qtr 1,March,14,Thursday,1,1,12,15898,Within 24H,19,1899-12-30 06:19:00,Morning,37,F,Poison
30–44,,No,Hyderabad,,,1,KIDNAPPING,Other Crime,,2024,Qtr 2,May,27,2024,Qtr 2,May,28,Monday,1,1,2,16921,After 24H,42,1899-12-30 23:22:00,Night,37,F,Poison
30–44,,No,Hyderabad,,,1,PUBLIC INTOXICATION,Other Crime,,2020,Qtr 2,June,6,2020,Qtr 2,June,6,Saturday,1,1,7,636,Within 24H,21,1899-12-30 17:09:00,Evening,38,M,Knife
30–44,,No,Hyderabad,,,1,PUBLIC INTOXICATION,Other Crime,,2021,Qtr 1,February,25,2021,Qtr 1,February,25,Thursday,1,1,4,2068,Within 24H,23,1899-12-30 05:18:00,Morning,38,F,None
30–44,,No,Hyderabad,,,1,PUBLIC INTOXICATION,Other Crime,,2021,Qtr 3,July,29,2021,Qtr 3,July,29,Thursday,1,1,8,3397,Within 24H,4,1899-12-30 02:28:00,Night,35,M,None
30–44,,No,Hyderabad,,,1,ROBBERY,Violent Crime,,2020,Qtr 4,October,31,2020,Qtr 4,October,31,Saturday,1,1,13,1289,Within 24H,18,1899-12-30 13:44:00,Afternoon,36,M,None
30–44,,No,Hyderabad,,,1,ROBBERY,Violent Crime,,2021,Qtr 3,September,9,2021,Qtr 3,September,9,Thursday,1,1,19,3846,Within 24H,23,1899-12-30 02:39:00,Night,38,M,Poison
30–44,,No,Hyderabad,,,1,ROBBERY,Violent Crime,,2022,Qtr 1,February,10,2022,Qtr 1,February,10,Thursday,1,1,13,8433,Within 24H,7,1899-12-30 06:12:00,Morning,40,M,Blunt Object
30–44,,No,Hyderabad,,,1,ROBBERY,Violent Crime,,2023,Qtr 1,January,18,2023,Qtr 1,January,20,Wednesday,1,1,14,9982,After 24H,56,1899-12-30 20:38:00,Evening,34,M,Explosives
30–44,,No,Hyderabad,,,1,ROBBERY,Violent Crime,,2023,Qtr 4,November,15,2023,Qtr 4,November,15,Wednesday,1,1,18,14212,Within 24H,21,1899-12-30 21:00:00,Night,41,F,Other
30–44,,No,Hyderabad,,,1,ROBBERY,Violent Crime,,2024,Qtr 2,April,14,2024,Qtr 2,April,15,Sunday,1,1,1,16331,After 24H,29,1899-12-30 05:32:00,Morning,40,M,Firearm
30–44,,No,Hyderabad,,,1,SEXUAL ASSAULT,Violent Crime,,2020,Qtr 2,May,2,2020,Qtr 2,June,2,Saturday,1,1,13,152,After 24H,747,1899-12-30 09:03:00,Morning,36,F,Knife
30–44,,No,Hyderabad,,,1,SEXUAL ASSAULT,Violent Crime,,2021,Qtr 3,August,10,2021,Qtr 3,August,10,Tuesday,1,1,3,4133,Within 24H,18,1899-12-30 01:21:00,Night,41,M,Poison
30–44,,No,Hyderabad,,,1,SEXUAL ASSAULT,Violent Crime,,2021,Qtr 4,October,2,2021,Qtr 4,November,2,Saturday,1,1,10,1933,After 24H,748,1899-12-30 00:46:00,Night,39,F,Poison
30–44,,No,Hyderabad,,,1,SEXUAL ASSAULT,Violent Crime,,2022,Qtr 4,December,20,2022,Qtr 4,December,21,Tuesday,1,1,8,9556,After 24H,25,1899-12-30 12:07:00,Afternoon,41,M,Knife
30–44,,No,Hyderabad,,,1,SEXUAL ASSAULT,Violent Crime,,2024,Qtr 2,June,5,2024,Qtr 3,August,5,Wednesday,1,1,8,16646,After 24H,1466,1899-12-30 15:04:00,Afternoon,42,M,Blunt Object
30–44,,No,Hyderabad,,,1,SHOPLIFTING,Other Crime,,2022,Qtr 4,October,22,2022,Qtr 4,October,24,Saturday,1,1,13,8739,After 24H,57,1899-12-30 20:11:00,Evening,37,M,Firearm
30–44,,No,Hyderabad,,,1,SHOPLIFTING,Other Crime,,2023,Qtr 2,May,17,2023,Qtr 2,May,18,Wednesday,1,1,18,11645,After 24H,42,1899-12-30 08:43:00,Morning,32,M,Poison
30–44,,No,Hyderabad,,,1,SHOPLIFTING,Other Crime,,2023,Qtr 3,September,7,2023,Qtr 3,September,7,Thursday,1,1,11,12384,Within 24H,8,1899-12-30 03:05:00,Night,44,M,None
30–44,,No,Hyderabad,,,1,SHOPLIFTING,Other Crime,,2023,Qtr 4,December,7,2023,Qtr 3,July,13,Thursday,1,1,16,12446,Within 24H,-3527,1899-12-30 22:34:00,Night,36,F,Firearm
30–44,,No,Hyderabad,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2020,Qtr 4,October,4,2020,Qtr 4,December,4,Sunday,1,1,4,415,After 24H,1474,1899-12-30 22:30:00,Night,33,F,Knife
30–44,,No,Hyderabad,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2021,Qtr 4,November,8,2021,Qtr 3,August,13,Monday,1,1,19,3562,Within 24H,-2082,1899-12-30 19:52:00,Evening,30,F,Knife
30–44,,No,Hyderabad,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2021,Qtr 4,November,21,2021,Qtr 4,November,21,Sunday,1,1,6,4572,Within 24H,4,1899-12-30 04:59:00,Night,34,M,None
30–44,,No,Hyderabad,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2021,Qtr 4,December,26,2021,Qtr 4,December,26,Sunday,1,1,4,4959,Within 24H,16,1899-12-30 10:53:00,Morning,33,M,None
30–44,,No,Hyderabad,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2022,Qtr 2,May,27,2022,Qtr 2,May,30,Friday,1,1,17,6722,After 24H,72,1899-12-30 11:39:00,Morning,42,F,Knife
30–44,,No,Hyderabad,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2022,Qtr 4,November,9,2022,Qtr 4,December,9,Wednesday,1,1,16,8154,After 24H,720,1899-12-30 15:56:00,Afternoon,44,M,Explosives
30–44,,No,Hyderabad,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2023,Qtr 1,February,5,2023,Qtr 2,April,5,Sunday,1,1,6,11437,After 24H,1423,1899-12-30 20:10:00,Evening,44,M,Firearm
30–44,,No,Hyderabad,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2023,Qtr 1,March,14,2023,Qtr 1,March,16,Tuesday,1,1,9,10753,After 24H,55,1899-12-30 02:10:00,Night,39,M,Knife
30–44,,No,Hyderabad,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2023,Qtr 2,May,8,2023,Qtr 2,May,8,Monday,1,1,7,12777,Within 24H,22,1899-12-30 17:13:00,Evening,30,M,Explosives
30–44,,No,Hyderabad,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2023,Qtr 3,September,15,2023,Qtr 3,September,17,Friday,1,1,19,13394,After 24H,71,1899-12-30 15:27:00,Afternoon,42,M,Other
30–44,,No,Hyderabad,,,1,VANDALISM,Other Crime,,2020,Qtr 1,January,23,2020,Qtr 1,January,24,Thursday,1,1,7,89,After 24H,42,1899-12-30 15:02:00,Afternoon,43,F,Knife
30–44,,No,Hyderabad,,,1,VANDALISM,Other Crime,,2020,Qtr 1,March,22,2020,Qtr 1,March,24,Sunday,1,1,10,343,After 24H,56,1899-12-30 02:29:00,Night,43,F,Knife
30–44,,No,Hyderabad,,,1,VANDALISM,Other Crime,,2021,Qtr 2,April,13,2021,Qtr 2,April,15,Tuesday,1,1,19,2467,After 24H,64,1899-12-30 09:34:00,Morning,34,F,None
30–44,,No,Hyderabad,,,1,VANDALISM,Other Crime,,2022,Qtr 4,October,17,2022,Qtr 4,October,19,Monday,1,1,5,8673,After 24H,66,1899-12-30 20:33:00,Evening,36,M,Poison
30–44,,No,Hyderabad,,,1,VANDALISM,Other Crime,,2022,Qtr 4,November,20,2022,Qtr 4,November,22,Sunday,1,1,10,9155,After 24H,68,1899-12-30 11:47:00,Morning,33,M,Blunt Object
30–44,,No,Hyderabad,,,1,VANDALISM,Other Crime,,2023,Qtr 3,August,26,2023,Qtr 3,August,27,Saturday,1,1,9,13089,After 24H,45,1899-12-30 00:12:00,Night,34,F,Explosives
30–44,,No,Hyderabad,,,1,VANDALISM,Other Crime,,2023,Qtr 4,October,13,2023,Qtr 4,October,14,Friday,1,1,8,13747,After 24H,36,1899-12-30 17:21:00,Evening,41,F,Other
30–44,,No,Hyderabad,,,1,VANDALISM,Other Crime,,2024,Qtr 1,January,15,2024,Qtr 1,January,17,Monday,1,1,10,15073,After 24H,49,1899-12-30 15:26:00,Afternoon,40,F,None
30–44,,No,Hyderabad,,,1,VANDALISM,Other Crime,,2024,Qtr 2,May,16,2024,Qtr 2,May,17,Thursday,1,1,13,16761,After 24H,29,1899-12-30 09:39:00,Morning,38,F,None
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2021,Qtr 1,March,8,2021,Qtr 2,May,8,Monday,1,1,4,3487,After 24H,1487,1899-12-30 18:40:00,Evening,30,M,Explosives
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2021,Qtr 2,May,26,2021,Qtr 2,May,28,Wednesday,1,1,16,2817,After 24H,53,1899-12-30 14:43:00,Afternoon,34,M,Knife
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2021,Qtr 3,July,27,2021,Qtr 3,July,28,Tuesday,1,1,1,3388,After 24H,37,1899-12-30 13:24:00,Afternoon,30,F,Poison
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2021,Qtr 4,December,11,2021,Qtr 4,November,15,Saturday,1,1,6,4508,Within 24H,-623,1899-12-30 23:33:00,Night,35,F,Poison
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2022,Qtr 1,February,18,2022,Qtr 1,February,19,Friday,1,1,1,5597,After 24H,29,1899-12-30 14:46:00,Afternoon,42,F,Explosives
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2022,Qtr 1,February,26,2022,Qtr 1,February,25,Saturday,1,1,19,5656,Within 24H,-18,1899-12-30 00:44:00,Night,34,M,Poison
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2022,Qtr 3,July,7,2022,Qtr 3,August,7,Thursday,1,1,8,7255,After 24H,762,1899-12-30 02:50:00,Night,30,F,Poison
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2022,Qtr 3,August,22,2022,Qtr 3,August,24,Monday,1,1,13,7904,After 24H,63,1899-12-30 19:11:00,Evening,40,M,Firearm
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2022,Qtr 3,September,23,2022,Qtr 3,September,23,Friday,1,1,7,8311,Within 24H,7,1899-12-30 08:27:00,Morning,35,F,Explosives
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2023,Qtr 1,January,17,2023,Qtr 1,January,18,Tuesday,1,1,7,9953,After 24H,26,1899-12-30 21:45:00,Night,34,M,Poison
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2023,Qtr 1,February,12,2023,Qtr 2,April,12,Sunday,1,1,11,14471,After 24H,1433,1899-12-30 15:39:00,Afternoon,35,F,Firearm
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2023,Qtr 4,November,30,2023,Qtr 1,February,12,Thursday,1,1,1,14450,Within 24H,-6965,1899-12-30 19:42:00,Evening,35,F,None
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2023,Qtr 4,December,28,2023,Qtr 4,December,27,Thursday,1,1,4,14784,Within 24H,-15,1899-12-30 00:32:00,Night,34,F,Firearm
30–44,,No,Hyderabad,,,1,VEHICLE - STOLEN,Violent Crime,,2024,Qtr 1,January,4,2024,Qtr 1,February,4,Thursday,1,1,2,16149,After 24H,748,1899-12-30 08:41:00,Morning,36,F,Blunt Object
30–44,,No,Indore,,,1,ARSON,Fire Accident,,2021,Qtr 3,September,30,2021,Qtr 1,January,10,Thursday,1,1,19,4070,Within 24H,-6294,1899-12-30 06:18:00,Morning,38,M,None
30–44,,No,Indore,,,1,ASSAULT,Violent Crime,,2023,Qtr 3,July,13,2023,Qtr 3,July,13,Thursday,1,1,9,12448,Within 24H,3,1899-12-30 00:04:00,Night,33,M,Knife
30–44,,No,Indore,,,1,ASSAULT,Violent Crime,,2024,Qtr 3,July,30,2024,Qtr 3,July,31,Tuesday,1,1,12,17797,After 24H,26,1899-12-30 12:44:00,Afternoon,31,F,Knife
30–44,,No,Indore,,,1,BURGLARY,Other Crime,,2021,Qtr 4,December,26,2021,Qtr 4,December,27,Sunday,1,1,2,4970,After 24H,27,1899-12-30 05:34:00,Morning,44,F,Knife
30–44,,No,Indore,,,1,BURGLARY,Other Crime,,2022,Qtr 3,July,12,2022,Qtr 3,July,12,Tuesday,1,1,6,9365,Within 24H,22,1899-12-30 14:42:00,Afternoon,30,M,Poison
30–44,,No,Indore,,,1,COUNTERFEITING,Other Crime,,2022,Qtr 1,February,19,2022,Qtr 1,February,20,Saturday,1,1,5,5614,After 24H,41,1899-12-30 17:13:00,Evening,38,M,Blunt Object
30–44,,No,Indore,,,1,CYBERCRIME,Other Crime,,2020,Qtr 2,June,16,2020,Qtr 2,June,18,Tuesday,1,1,9,696,After 24H,54,1899-12-30 22:19:00,Night,31,F,Knife
30–44,,No,Indore,,,1,CYBERCRIME,Other Crime,,2022,Qtr 1,February,4,2022,Qtr 1,March,4,Friday,1,1,16,6081,After 24H,685,1899-12-30 10:03:00,Morning,44,F,Blunt Object
30–44,,No,Indore,,,1,CYBERCRIME,Other Crime,,2023,Qtr 1,March,13,2023,Qtr 1,March,13,Monday,1,1,4,10711,Within 24H,0,1899-12-30 15:22:00,Afternoon,30,M,Other
30–44,,No,Indore,,,1,CYBERCRIME,Other Crime,,2024,Qtr 1,February,19,2024,Qtr 1,February,20,Monday,1,1,13,15555,After 24H,35,1899-12-30 12:52:00,Afternoon,36,M,Explosives
30–44,,No,Indore,,,1,DOMESTIC VIOLENCE,Violent Crime,,2024,Qtr 4,November,6,2024,Qtr 4,November,6,Wednesday,1,1,5,17113,Within 24H,15,1899-12-30 03:56:00,Night,30,M,Poison
30–44,,No,Indore,,,1,DRUG OFFENSE,Other Crime,,2022,Qtr 2,April,24,2022,Qtr 2,April,26,Sunday,1,1,9,6331,After 24H,52,1899-12-30 07:59:00,Morning,30,M,Poison
30–44,,No,Indore,,,1,DRUG OFFENSE,Other Crime,,2024,Qtr 1,January,6,2024,Qtr 1,February,6,Saturday,1,1,14,16988,After 24H,762,1899-12-30 12:58:00,Afternoon,38,M,Knife
30–44,,No,Indore,,,1,EXTORTION,Other Crime,,2024,Qtr 1,February,6,2024,Qtr 2,April,6,Tuesday,1,1,16,17008,After 24H,1441,1899-12-30 12:58:00,Afternoon,33,M,Other
30–44,,No,Indore,,,1,EXTORTION,Other Crime,,2024,Qtr 2,May,22,2024,Qtr 2,May,24,Wednesday,1,1,15,16857,After 24H,56,1899-12-30 19:56:00,Evening,43,F,Firearm
30–44,,No,Indore,,,1,FRAUD,Other Crime,,2021,Qtr 3,August,20,2021,Qtr 3,August,20,Friday,1,1,17,3646,Within 24H,23,1899-12-30 18:54:00,Evening,33,M,Poison
30–44,,No,Indore,,,1,FRAUD,Other Crime,,2024,Qtr 2,June,6,2024,Qtr 3,September,6,Thursday,1,1,17,17084,After 24H,2217,1899-12-30 13:11:00,Afternoon,31,F,Poison
30–44,,No,Indore,,,1,FRAUD,Other Crime,,2024,Qtr 3,September,4,2024,Qtr 3,September,4,Wednesday,1,1,9,16256,Within 24H,21,1899-12-30 21:05:00,Night,40,F,None
30–44,,No,Indore,,,1,HOMICIDE,Other Crime,,2021,Qtr 3,September,29,2021,Qtr 3,September,30,Wednesday,1,1,19,4051,After 24H,35,1899-12-30 04:27:00,Night,36,M,Poison
30–44,,No,Indore,,,1,HOMICIDE,Other Crime,,2022,Qtr 2,June,27,2022,Qtr 2,June,27,Monday,1,1,2,7109,Within 24H,19,1899-12-30 11:42:00,Morning,37,F,Blunt Object
30–44,,No,Indore,,,1,IDENTITY THEFT,Violent Crime,,2022,Qtr 4,October,16,2022,Qtr 4,October,18,Sunday,1,1,4,8655,After 24H,67,1899-12-30 08:23:00,Morning,33,M,Firearm
30–44,,No,Indore,,,1,IDENTITY THEFT,Violent Crime,,2023,Qtr 2,May,29,2023,Qtr 2,May,30,Monday,1,1,1,11813,After 24H,42,1899-12-30 13:16:00,Afternoon,31,M,Poison
30–44,,No,Indore,,,1,IDENTITY THEFT,Violent Crime,,2024,Qtr 1,February,26,2024,Qtr 1,February,26,Monday,1,1,18,15661,Within 24H,23,1899-12-30 02:46:00,Night,43,F,Blunt Object
30–44,,No,Indore,,,1,ILLEGAL POSSESSION,Other Crime,,2024,Qtr 1,March,7,2024,Qtr 2,April,7,Thursday,1,1,5,17440,After 24H,765,1899-12-30 20:55:00,Evening,36,F,Firearm
30–44,,No,Indore,,,1,KIDNAPPING,Other Crime,,2024,Qtr 3,July,19,2024,Qtr 3,July,20,Friday,1,1,11,17649,After 24H,27,1899-12-30 08:13:00,Morning,32,F,Blunt Object
30–44,,No,Indore,,,1,PUBLIC INTOXICATION,Other Crime,,2022,Qtr 1,March,13,2022,Qtr 1,March,13,Sunday,1,1,4,5861,Within 24H,20,1899-12-30 23:05:00,Night,41,M,Knife
30–44,,No,Indore,,,1,PUBLIC INTOXICATION,Other Crime,,2022,Qtr 4,December,1,2022,Qtr 1,January,14,Thursday,1,1,16,5169,Within 24H,-7702,1899-12-30 20:29:00,Evening,43,M,Poison
30–44,,No,Indore,,,1,ROBBERY,Violent Crime,,2020,Qtr 2,June,14,2020,Qtr 2,June,15,Sunday,1,1,12,677,After 24H,26,1899-12-30 01:52:00,Night,34,M,Knife
30–44,,No,Indore,,,1,ROBBERY,Violent Crime,,2023,Qtr 1,February,8,2023,Qtr 1,March,8,Wednesday,1,1,13,12755,After 24H,684,1899-12-30 10:41:00,Morning,36,F,Poison
30–44,,No,Indore,,,1,SEXUAL ASSAULT,Violent Crime,,2023,Qtr 1,February,22,2023,Qtr 1,February,23,Wednesday,1,1,8,10467,After 24H,29,1899-12-30 04:51:00,Night,40,M,Explosives
30–44,,No,Indore,,,1,SEXUAL ASSAULT,Violent Crime,,2023,Qtr 1,March,30,2023,Qtr 1,January,4,Thursday,1,1,3,10983,Within 24H,-2032,1899-12-30 19:23:00,Evening,31,M,Knife
30–44,,No,Indore,,,1,SEXUAL ASSAULT,Violent Crime,,2023,Qtr 4,October,26,2023,Qtr 4,October,26,Thursday,1,1,1,13920,Within 24H,15,1899-12-30 08:08:00,Morning,43,F,None
30–44,,No,Indore,,,1,SEXUAL ASSAULT,Violent Crime,,2023,Qtr 4,December,30,2024,Qtr 1,January,1,Saturday,1,1,5,14861,After 24H,54,1899-12-30 15:48:00,Afternoon,34,F,Firearm
30–44,,No,Indore,,,1,SEXUAL ASSAULT,Violent Crime,,2024,Qtr 2,April,29,2024,Qtr 2,April,29,Monday,1,1,18,16538,Within 24H,19,1899-12-30 01:25:00,Night,30,F,Other
30–44,,No,Indore,,,1,SHOPLIFTING,Other Crime,,2023,Qtr 1,February,16,2023,Qtr 1,February,17,Thursday,1,1,7,10378,After 24H,30,1899-12-30 02:51:00,Night,33,M,Knife
30–44,,No,Indore,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2022,Qtr 3,July,22,2022,Qtr 3,July,22,Friday,1,1,1,7443,Within 24H,2,1899-12-30 01:43:00,Night,43,M,Knife
30–44,,No,Indore,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2022,Qtr 4,November,23,2022,Qtr 4,November,25,Wednesday,1,1,11,9190,After 24H,66,1899-12-30 15:40:00,Afternoon,38,F,Knife
30–44,,No,Indore,,,1,VANDALISM,Other Crime,,2022,Qtr 3,August,19,2022,Qtr 3,August,20,Friday,1,1,6,7842,After 24H,35,1899-12-30 15:36:00,Afternoon,35,M,Firearm
30–44,,No,Indore,,,1,VEHICLE - STOLEN,Violent Crime,,2021,Qtr 4,November,4,2021,Qtr 4,November,4,Thursday,1,1,11,2429,Within 24H,13,1899-12-30 08:53:00,Morning,39,F,Knife
30–44,,No,Indore,,,1,VEHICLE - STOLEN,Violent Crime,,2023,Qtr 3,August,21,2023,Qtr 3,August,21,Monday,1,1,3,12997,Within 24H,16,1899-12-30 13:50:00,Afternoon,33,F,Other
30–44,,No,Jaipur,,,1,ARSON,Fire Accident,,2020,Qtr 4,November,3,2020,Qtr 4,November,3,Tuesday,1,1,2,281,Within 24H,5,1899-12-30 18:22:00,Evening,35,F,Knife
30–44,,No,Jaipur,,,1,ARSON,Fire Accident,,2021,Qtr 2,June,11,2021,Qtr 2,June,11,Friday,1,1,16,4432,Within 24H,20,1899-12-30 01:30:00,Night,40,F,None
30–44,,No,Jaipur,,,1,ASSAULT,Violent Crime,,2024,Qtr 1,February,26,2024,Qtr 1,February,29,Monday,1,1,8,15689,After 24H,82,1899-12-30 18:09:00,Evening,35,M,Blunt Object
30–44,,No,Jaipur,,,1,BURGLARY,Other Crime,,2021,Qtr 1,February,8,2021,Qtr 1,January,8,Monday,1,1,3,3441,Within 24H,-727,1899-12-30 08:45:00,Morning,31,M,Knife
30–44,,No,Jaipur,,,1,BURGLARY,Other Crime,,2024,Qtr 2,May,18,2024,Qtr 2,May,18,Saturday,1,1,7,16780,Within 24H,10,1899-12-30 14:38:00,Afternoon,43,F,Poison
30–44,,No,Jaipur,,,1,COUNTERFEITING,Other Crime,,2023,Qtr 1,February,17,2023,Qtr 1,February,17,Friday,1,1,3,10376,Within 24H,3,1899-12-30 03:26:00,Night,43,M,Blunt Object
30–44,,No,Jaipur,,,1,COUNTERFEITING,Other Crime,,2024,Qtr 1,February,14,2024,Qtr 1,February,14,Wednesday,1,1,12,15469,Within 24H,7,1899-12-30 12:44:00,Afternoon,44,F,Blunt Object
30–44,,No,Jaipur,,,1,CYBERCRIME,Other Crime,,2022,Qtr 3,August,6,2022,Qtr 3,September,6,Saturday,1,1,16,6862,After 24H,754,1899-12-30 22:15:00,Night,39,M,Explosives
30–44,,No,Jaipur,,,1,CYBERCRIME,Other Crime,,2023,Qtr 1,February,22,2023,Qtr 1,February,23,Wednesday,1,1,17,10474,After 24H,44,1899-12-30 10:10:00,Morning,43,M,Explosives
30–44,,No,Jaipur,,,1,CYBERCRIME,Other Crime,,2024,Qtr 2,June,1,2024,Qtr 3,September,1,Saturday,1,1,18,14971,After 24H,2220,1899-12-30 23:44:00,Night,43,M,Blunt Object
30–44,,No,Jaipur,,,1,DOMESTIC VIOLENCE,Violent Crime,,2020,Qtr 1,February,5,2020,Qtr 1,March,5,Wednesday,1,1,12,508,After 24H,710,1899-12-30 10:10:00,Morning,33,F,Knife
30–44,,No,Jaipur,,,1,DOMESTIC VIOLENCE,Violent Crime,,2021,Qtr 2,May,8,2021,Qtr 2,May,8,Saturday,1,1,2,3482,Within 24H,18,1899-12-30 11:12:00,Morning,36,F,Poison
30–44,,No,Jaipur,,,1,DOMESTIC VIOLENCE,Violent Crime,,2021,Qtr 4,December,16,2021,Qtr 4,December,19,Thursday,1,1,6,4883,After 24H,83,1899-12-30 20:28:00,Evening,43,F,Poison
30–44,,No,Jaipur,,,1,DRUG OFFENSE,Other Crime,,2020,Qtr 2,April,4,2020,Qtr 2,May,4,Saturday,1,1,10,386,After 24H,742,1899-12-30 09:06:00,Morning,40,F,Knife
30–44,,No,Jaipur,,,1,DRUG OFFENSE,Other Crime,,2020,Qtr 2,June,14,2020,Qtr 2,June,15,Sunday,1,1,8,678,After 24H,28,1899-12-30 20:15:00,Evening,30,F,Knife
30–44,,No,Jaipur,,,1,DRUG OFFENSE,Other Crime,,2021,Qtr 1,January,20,2021,Qtr 1,January,22,Wednesday,1,1,19,1800,After 24H,57,1899-12-30 19:37:00,Evening,30,M,None
30–44,,No,Jaipur,,,1,DRUG OFFENSE,Other Crime,,2021,Qtr 4,December,24,2021,Qtr 4,December,25,Friday,1,1,18,4944,After 24H,25,1899-12-30 23:01:00,Night,31,M,Explosives
30–44,,No,Jaipur,,,1,DRUG OFFENSE,Other Crime,,2022,Qtr 2,June,3,2022,Qtr 3,September,3,Friday,1,1,4,5798,After 24H,2210,1899-12-30 07:05:00,Morning,38,F,Blunt Object
30–44,,No,Jaipur,,,1,EXTORTION,Other Crime,,2020,Qtr 2,May,27,2020,Qtr 2,May,26,Wednesday,1,1,5,588,Within 24H,-9,1899-12-30 06:39:00,Morning,44,F,Knife
